DynamicsColumnName,CleanedColumnName
cdi_override,CDI Override
cdi_pageviewid,CDI Page View ID
cdi_parenteventid,CDI Parent Event ID
cdi_parenteventid_entitytype,CDI Parent Event ID Entity Type
cdi_parenteventidname,CDI Parent Event ID Name
cdi_partitionkey,CDI Partitionkey
cdi_performsplittest,CDI Per Form Split Test
cdi_phone,CDI Phone
cdi_phonenumber,CDI Phone Number
cdi_platform,CDI Plat Form
cdi_polls,CDI Polls
cdi_pollsresponserate,CDI Polls Response Rate
cdi_postalcode,CDI Postal Code
cdi_postcontent,CDI Post Content
cdi_postedfacebookaddress,CDI Posted Facebook Address
cdi_postedfieldid,CDI Posted Field ID
cdi_postedformid,CDI Posted Form ID
cdi_postedformid_entitytype,CDI Posted Form ID Entity Type
cdi_postedformidname,CDI Posted Form ID Name
cdi_postedlabel,CDI Posted Label
cdi_postedon,CDI Postedon
cdi_postedsubscriptionid,CDI Posted Subscription ID
cdi_postedsubscriptionid_entitytype,CDI Posted Subscription ID Entity Type
cdi_postedsubscriptionidname,CDI Posted Subscription ID Name
cdi_postedsurveyid,CDI Posted Survey ID
cdi_postedsurveyid_entitytype,CDI Posted Survey ID Entity Type
cdi_postedsurveyidname,CDI Posted Survey ID Name
cdi_postid,CDI Post ID
cdi_postimmediately,CDI Post Immediately
cdi_poston,CDI Poston
cdi_posttofacebook,CDI Postto Facebook
cdi_preference,CDI Preference
cdi_preheader,CDI Preheader
cdi_priority,CDI Priority
cdi_profileid,CDI Profile ID
cdi_profileid_entitytype,CDI Profile ID Entity Type
cdi_profileidname,CDI Profile ID Name
cdi_profilename,CDI Profile Name
cdi_qaquestionsasked,Cdiqa Question Sasked
cdi_quantity,CDI Quantity
cdi_question,CDI Question
cdi_questionsandcomments,CDI Questionsand Comments
cdi_questionsaskedbyattendee,CDI Questions Asked By Attendee
cdi_quicksendtemplate,CDI Quick Send Template
cdi_reason,CDI Reason
cdi_recipientsgrid,CDI Recipients Grid
cdi_recipientxml,CDI Recipient XML
cdi_referrer,CDI Referrer
cdi_referringhost,CDI Referring Host
cdi_registrantkey,CDI Registrant Key
cdi_registrationapprovalmethod,CDI Registration Approval Method
cdi_registrationdate,CDI Registration Date
cdi_registrationstatus,CDI Registration Status
cdi_registrationurl,CDI Registration URL
